Instance;Random: best;Random: worst;Random: avg;Random: std;Greedy: best;Greedy: worst;Greedy: avg;Greedy: std;Evolutionary: best;Evolutionary: worst;Evolutionary: avg;Evolutionary: std
./src/problem-instances/A-n32-k5.txt;1286.179;2256.081;1809.4493;130.89919;713.6813;918.05865;810.8432;48.70706;695.9971;802.10736;750.46375;34.85338
./src/problem-instances/A-n37-k5.txt;1528.7379;2364.2134;1943.045;115.831535;847.8431;1034.4592;940.3103;47.990093;724.34686;845.79785;781.3096;47.7278
./src/problem-instances/A-n39-k5.txt;1550.6035;2655.6711;2181.7583;130.98941;953.0211;1156.7482;1035.4886;51.229797;873.9847;1044.2162;956.2713;51.381363
./src/problem-instances/A-n45-k7.txt;2093.176;3267.6982;2661.455;146.35185;1288.9974;1672.8726;1452.1642;109.43907;1244.6802;1356.143;1313.5388;40.448254
./src/problem-instances/A-n48-k7.txt;2342.0652;3531.3677;2939.2944;171.03603;1259.8195;1439.5476;1338.69;43.84624;1189.7922;1401.7539;1282.4006;59.17493
