Instance;Random: best;Random: worst;Random: avg;Random: std;Greedy: best;Greedy: worst;Greedy: avg;Greedy: std;Evolutionary: best;Evolutionary: worst;Evolutionary: avg;Evolutionary: std
./src/problem-instances/A-n32-k5.txt;1267,7344;2260,8713;1807,5946;131,76402;765,5467;765,5467;765,5468;0,00012207031;677,7144;755,9039;718,2477;25,3895
./src/problem-instances/A-n37-k5.txt;1489,0626;2408,8845;1944,2134;117,151184;968,2098;968,2098;968,2081;0,0016479492;726,0068;823,9066;773,3213;29,121391
./src/problem-instances/A-n39-k5.txt;1655,8801;2658,8147;2183,155;129,52191;1059,9965;1059,9965;1059,9988;0,002319336;902,4049;1054,8335;949,6761;43,868286
./src/problem-instances/A-n45-k7.txt;2099,5293;3188,8884;2661,8833;146,31918;1389,7714;1389,7714;1389,7695;0,0018310547;1220,9241;1378,3289;1310,1482;47,1602
./src/problem-instances/A-n48-k7.txt;2195,7703;3524,1199;2942,0774;168,41599;1346,997;1346,997;1346,999;0,0020751953;1225,9457;1392,4199;1277,9852;48,566437
